######################################################################
# Uckermark
# Point name			    Real GPS	 BBBike data
20020607commented.wpt/109/	GPS 49385,107992 48380,108374
20020607commented.wpt/197/	GPS 53965,103566 52875,103948
20020607commented.wpt/201/	GPS 51123,104371 50119,104816
20020607commented.wpt/280/	GPS 50406,100808 49487,101147
20020607commented.wpt/284/	GPS 51944,100640 50875,101043
20020607commented.wpt/263/	GPS 46685,94871 45809,95211
20020607commented.wpt/261/	GPS 48269,93041 47329,93380
20020607commented.wpt/178/	GPS 64648,100560 63301,101133
20020607commented.wpt/194/	GPS 55959,100115 54912,100476
20020607commented.wpt/286/	GPS 53980,97765 53082,98169
20020607commented.wpt/291/	GPS 54270,92733 53351,93137
20020607commented.wpt/319/	GPS 46901,76788 46217,77149
20020607commented.wpt/336/	GPS 39800,73147 39202,73445
20020607commented.wpt/347/	GPS 32412,65263 31941,65497
20020607commented.wpt/364/	GPS 30042,56685 29742,56962
20020607commented.wpt/371/	GPS 32677,53193 32270,53469
20020421commented.wpt/155/Prenzlau+Feldberg	GPS 37575,100802 36805,101078
20020421commented.wpt/159/B109+Lychen	GPS 34635,97917 34016,98172
20020421commented.wpt/166/Haßleben-Boitzenburg	GPS 28462,90504 28077,90759
20020421commented.wpt/167/Haßleben-Greiffenberg+Haßleben Süd	GPS 28335,90014 27908,90247
20020421commented.wpt/172/Mittenwalde+Templin	GPS 26191,85445 25827,85594
20020421commented.wpt/181/	GPS 25119,78470 24799,78618
20020421commented.wpt/195/B109+Groß-Dölln	GPS 22331,66458 21989,66606
20020421commented.wpt/208/	GPS 18293,50540 18100,50753
20020421commented.wpt/219/B109+Kreuzbruch	GPS 14873,43623 14787,43709
20020421commented.wpt/229/B109+B273	GPS 13543,37500 13458,37500
20020607commented.wpt/134/	GPS 59102,106776 57842,107263
20020421commented.wpt/141/B198+Penkun	GPS 41183,100575 40393,100915
20020824commented.wpt/005/	GPS 19639,24590 19596,24696
20020824commented.wpt/010/	GPS 22168,29542 22103,29649
20020824commented.wpt/018/	GPS 23082,30973 22996,31101
20020824commented.wpt/022/	GPS 26200,39105 26072,39254
20020824commented.wpt/032/	GPS 37899,48256 37514,48575
20020824commented.wpt/038/	GPS 38809,51265 38467,51648
20020824commented.wpt/043/	GPS 42428,55559 41979,55899
20020824commented.wpt/050/	GPS 47554,63567 46891,63886
20020824commented.wpt/063/	GPS 48923,70970 48260,71374
20020824commented.wpt/074/	GPS 49771,90229 48937,90611
20020824commented.wpt/095/	GPS 11521,52168 11392,52253
20020824commented.wpt/098/	GPS 8917,51779 8810,51864
20020824commented.wpt/103/	GPS 7711,38832 7647,38853
######################################################################
# Usedom
# additional coordinates from GPS device (worldmap)
# DMS				standard/hafas
#N54 05 45.0	E13 22 51.6	5372,187894	# Greifswald
N54 08 20.1	E13 46 28.0	30765,193598	# Peenemünde
N51 10 47.3	E14 25 30.2	84838,-134321	# Bautzen
N52 21 39.0	E14 20 33.5	74687,-3168	# Petersdorf
N52 03 21.5	E11 57 21.1	-88190,-39803	# Leitzkau
N53 50 33.4	E11 27 57.4	-120096,158779	# Dorf Mecklenburg
N53 04 19.9	E12 28 29.9	-53331,73274	# Herzsprung
N52 57 14.8	E12 23 43.2	-58422,60148	# B5/B103 bei Kyritz
N51 09 50.8	E13 28 28.9	18596,-137935	# Meissen
N54 17 43.1	E12 43 08.7	-38578,209576	# Löbnitz
N53 46 12.0	E12 34 24.6	-47591,151061	# B108/B104 in Teterow
N53 57 45.4	E12 43 05.6	-38250,172406	# Gnoien/nach Neukalen
N53 25 06.4	E12 15 31.9	-67903,111736	# B103/B198 bei Plau
N53 41 55.6	E12 54 30.3	-25324,143430	# B104/B194 Stavenhagen
N53 08 58.0	E12 10 27.2	-73507,81847	# Pritzwalk
N53 46 41.7	E13 16 05.0	-1669,152585	# Burow/nach Demmin
N52 32 01.9	E14 22 52.0	76603,16156	# Seelow
N54 06 26.4	E11 54 42.9	-90984,188354	# B105/Bad Doberan Knick
N54 04 38.8	E12 23 13.5	-59974,185177	# Sanitz
N51 22 05.2	E14 29 11.4	88478,-113095	# B156/Uhyst Knick
N52 25 35.7	E14 31 57.6	87350,4620	# Lebus
N51 31 03.5	E12 20 05.6	-61246,-99139	# Delitzsch
N53 28 13.7	E12 26 27.6	-55876,117690	# B192/nach Malchow, südöst.
N53 18 20.4	E13 06 14.2	-11486,99655	# B96/Klein Trobbow
N54 25 01.8	E12 39 36.7	-42648,223173	# von Barth nach Zingst, Mitte
N54 06 34.9	E12 39 30.6	-42241,188840	# Bad Sülze
N54 26 23.4	E13 33 59.0	16036,226622	# B196a/nach Sassnitz
N51 14 54.5	E13 52 42.5	46540,-127854	# Laußnitz B98/B97
N53 36 29.3	E11 25 26.6	-123340,132883	# B106/B321 Schwerin suedlich
N50 55 08.0	E14 09 21.2	67128,-164150	# BAD SCHANDAU
N52 05 01.8	E12 50 34.8	-26922,-36349	# Treuenbrietzen, Knick südl.
N53 09 23.4	E11 44 46.0	-102119,82342	# Karstaedt
N51 58 21.8	E13 36 29.8	26014,-48032	# B96/B115 Golssen
N51 33 25.0	E12 59 35.0	-15801,-94843	# Torgau
N51 27 37.0	E14 06 56.1	62407,-103723	# Lauta, Knick
N53 27 13.7	E14 12 38.3	61636,118105	# Loecknitz (Vorpommern)
N53 16 08.1	E11 34 06.4	-113979,95028	# Grabow B5/Berliner Str
N52 32 39.0	E12 01 09.2	-83629,14352	# B107/B188
N52 37 32.6	E11 52 35.6	-93259,23438	# Stendal, Knick nördl.
N52 04 10.9	E12 18 16.9	-63982,-38409	# Reuden/nach Zerbst
N53 22 43.0	E11 04 45.7	-146506,107500	# Pritzier
N51 50 57.4	E13 42 07.2	32453,-61560	# B87/B96 suedl Luckau
N51 38 11.8	E13 42 22.7	33387,-84974	# Finsterwalde/nach Doberlug
N51 01 06.4	E14 55 48.9	120975,-150750	# Ostritz B99/S129
N54 11 29.8	E12 51 57.1	-28877,197995	# Franzburg/nach Tribsees
N53 20 35.7	E14 16 06.6	65873,105830	# Krackow
N53 22 26.3	E10 43 14.1	-170268,107152	# Boizenburg/Elbe
N54 10 25.5	E12 14 33.2	-69587,195756	# Rovershagen
#N53 23 59.0	E11 30 10.3	# Wobbelin wo is dat??? XXX
N52 24 27.1	E12 10 09.3	-73598,-1002	# Gentin/nach Mahlenzien
N53 15 52.1	E14 24 01.2	75053,97617	# B2/B113
N53 01 52.9	E14 06 56.0	56612,70925	# Felchow/nach Pinnow
N53 54 49.9	E10 58 43.6	-152356,167072	# Dassow
N53 27 14.3	E14 22 02.5	72097,118425	# B104/B113
N52 15 56.7	E11 51 41.2	-94269,-16677	# B246a/B1 in Burg
N53 34 59.0	E9 41 53.5	-237607,132006	# Wedel
N53 13 01.5	E13 50 25.3	37748,91078	# Potzlow
N53 57 50.3	E11 10 29.9	-140125,172775	# Klutz L01/L03
N52 57 14.8	E11 56 51.5	-88697,60000	# Bad Wilsnack
N52 58 33.9	E12 59 09.0	-18802,62939	# Lindow/nach Gransee
N53 09 46.2	E12 29 09.5	-52865,83319	# Wittstock/Dosse
N52 26 06.0	E10 50 46.5	-163301,2606	# B188/nach Reisslingen bei WOB
N52 39 28.7	E10 07 40.3	-211625,28275	# Garssen bei Celle
N52 09 13.1	E9 56 03.2	-225950,-27475	# B1/B243 Hildesheim
N51 53 32.6	E10 10 37.0	-210379,-57075	# Seesen
N52 22 35.9	E9 44 28.4	-238807,-2284	# Hannover
N54 27 53.0	E9 50 17.7	-225683,229745	# Eckernfoerde
# XXX Hiddensee
# XXX Haldensleben
# XXX Tangerhütte
# XXX Brehna, Bitterfeld und/oder Wolfen
######################################################################
# Dessau/Köthen
# additional GPS coordinates
N51 46 12.4	E12 00 00.5	-84672,-71741	# bei Köthen B185/B187a
#N51 20 37.6	E11 59 18.1	-85300,-119278	# Merseburg, Ri. Kötzschen
#N51 13 00.7	E11 58 08.2	-86738,-133334	# Weissenfels, Ri. Leuna
N51 50 12.4	E12 16 02.7	-66286,-64303	# Dessau, Ri. Vockerau
N51 44 46.3	E12 07 44.6	-75720,-74324	# Quellendorf
E 12°03'22.6"	N 51°47'31.0"	-80750,-69323	# Elsnigk
E 12°02'46.3"	N 51°50'56.7"	-81684,-62949	# Aken
E 11°48'14.1"	N 51°42'12.2"	-98190,-79169	# Köthen - Könnern, Knick
######################################################################
# Brandenburg
# own GPS coordinates
E 13°07'35.5"	N 52°21'42.8"	-8169,-5259	# Drewitz
#E 13°09'43.3"	N 52°20'06.9"	-5663,-8197	# nach Nudow # XXX hier gibt es anscheinend noch Probleme ... eins von beiden (Nudow oder Ahrensdorf) muss auskommentiert sein!
E 13°12'02.8"	N 52°19'09.9"	-2969,-9770	# nach Ahrensdorf XXX
E 13°13'46.9"	N 52°14'18.2"	-811,-18765	# B 101/nach Jüttchendorf
E 13°12'07.4"	N 52°13'02.1"	-2684,-21221	# Trebbin/nach Luckenwalde
E 13°19'15.2"	N 52°02'50.4"	5838,-39970	# Stülpe/nach Sperenberg
E 13°22'26.7"	N 52°05'59.6"	9367,-34034	# Kummerdorf Gut/nach Baruth
E 13°28'27.3"	N 52°09'46.7"	16054,-26876	# Wünsdorf
E 13°35'09.6"	N 52°11'57.7"	23537,-22617	# Motzen/nach Groß Köris
E 13°40'05.5"	N 52°13'55.4"	29100,-18916	# Pätz/B 179
E 13°38'01.4"	N 52°15'44.0"	26615,-15551	# B179/nach Bestensee
E 13°33'51.1"	N 52°14'55.2"	21965,-17246	# Gallun/nach Töpchin
E 13°30'49.5"	N 52°18'18.8"	18448,-10962	# Brusendorf
E 13°28'10.5"	N 52°22'17.7"	15205,-3718	# Waßmannsdorf
E 13°33'18.5"	N 52°21'56.2"	21057,-4303	# Waltersdorf/nach Diepensee
E 13°36'31.3"	N 52°20'21.4"	24779,-7067	# Miersdorf/nach Hohenlehme
E 13°37'56.1"	N 52°18'50.0"	26558,-9836	# Bergstr (Wildau)
E 13°35'00.5"	N 52°40'29.6"	22144,30246	# Breitscheidstr. (Bernau)
E 13°38'38.4"	N 52°45'58.5"	25962,40512	# Biesenthal/B2
E 13°49'10.3"	N 52°50'07.4"	37514,48575	# Eberswalde (Eisenbahnstr.)
E 13°53'33.0"	N 52°53'40.9"	42279,55410	# Chorin/nach Brodowin
E 13°57'57.4"	N 52°58'15.1"	46891,63886	# B2/B198
E 13°57'20.0"	N 53°05'15.2"	45876,76935	# Greiffenberg
E 14°00'30.5"	N 53°12'27.2"	49195,90185	# B166/B198
E 13°23'40.0"	N 52°52'16.4"	8810,51864	# Liebenwalde/nach Wensickendf.
E 13°23'17.3"	N 52°47'01.1"	8642,42075	# Zehlendorf
E 13°22'33.7"	N 52°45'19.1"	7989,38854	# Wensickendorf
E 12°55'24.8"	N 52°29'47.3"	-22212,9511	# Falkenrehde
E 12°51'02.7"	N 52°28'23.1"	-27137,6835	# Ketzin/zur Fähre
E 12°59'37.8"	N 52°28'40.8"	-17382,7516	# Satzkorn
E 14°06'38.0"	N 53°08'31.4"	56151,83119	# Passow, Knick
E 13°36'36.0"	N 52°36'10.3"	24193,22189	# Blumberg/nach Birkholz
E 13°34'33.2"	N 52°34'31.0"	21959,19071	# Lindenberger Str./B 158
E 13°03'27.7"	N 52°24'02.8"	-12898,-961	# Potsdam Broadway/Fr.-Ebert-S.
E 12°58'49.6"	N 52°20'28.4"	-17984,-7668	# Caputh/zur Eisenbahnbr. südl.
######################################################################
# Thomas
E 13°02'57.8"	N 52°35'42.3"	-13870,20681	# Alter Finkenkrug/nach Wuster.
E 12°57'36.5"	N 52°34'19.1"	-19842,18003	# Zeestow
E 12°56'43.3"	N 52°32'42.4"	-20752,14930	# Wustermark/nach Finkenkrug
######################################################################
# Loblo
E 13°12'38.4"	N 52°38'15.7"	-3037,25566	# Hennigsdorf
E 13°09'05.8"	N 52°40'32.6"	-6997,29759	# Marwitz, Knick
E 13°05'07.0"	N 52°44'09.2"	-11582,36254	# Schwante
E 12°59'25.2"	N 52°43'42.0"	-18028,35430	# Staffelde
E 12°50'42.8"	N 52°43'15.0"	-27826,34514	# bei Kuhhorst
E 12°38'36.5"	N 52°42'40.9"	-41445,33569	# Warsow/nach Jahnberge
E 12°24'37.6"	N 52°44'41.8"	-57189,36948	# Schönholz-Neuwerder/n. Neust.
E 12°22'27.6"	N 52°52'48.0"	-59810,51935	# bei Zernitz
E 11°45'13.3"	N 52°53'39.8"	-101767,52956	# Seehausen
E 11°55'34.6"	N 52°51'37.0"	-90058,49547	# Wendemark
E 11°45'58.3"	N 52°11'26.9"	-100781,-25093	# Körbelitz/B1
E 11°49'44.9"	N 52°04'22.7"	-96457,-38135	# Gommern
E 12°15'52.7"	N 52°20'35.8"	-66919,-8026	# Karow|b. Genthin
E 12°24'45.3"	N 52°24'24.9"	-56817,-754	# Plaue
E 12°42'02.1"	N 52°30'50.2"	-37418,11249	# Bagow
E 13°53'22.1"	N 52°46'11.8"	42549,41399	# Kruge-Gersdorf
E 13°57'40.3"	N 52°51'38.4"	47050,51730	# Liepe/nach Brodowin
E 14°02'12.1"	N 52°55'57.8"	51897,59780	# Parstein
E 14°07'22.4"	N 52°50'47.6"	58007,50004	# Hohenwutzen
E 13°52'27.5"	N 52°42'07.7"	41757,33784	# Leuenberg/nach Beiersdorf
E 13°37'46.7"	N 52°40'10.3"	25263,29719	# Börnicke/nach Willmersdorf
E 13°57'25.1"	N 52°46'22.9"	47074,41792	# Dannenberg
E 14°02'42.7"	N 52°51'57.0"	52706,52382	# Oderberg
E 13°49'50.8"	N 52°57'02.9"	37994,61457	# Senftenhütte/B 198
E 13°35'46.4"	N 53°00'04.1"	21989,66606	# Groß Dölln/B 109
E 12°55'52.9"	N 53°04'00.2"	-22649,72890	# Köpernitz/nach Gühlen Glieni.
E 13°02'28.0"	N 52°48'14.1"	-14783,43903	# Sommerfeld, Knick
E 13°07'46.2"	N 52°48'12.2"	-8847,43894	# Hohenbruch
E 13°18'34.8"	N 52°59'00.4"	2950,64114	# Zehdenick/nach Fürstenberg
E 13°36'33.8"	N 52°08'10.2"	25434,-29671	# Teupitz
E 13°45'33.6"	N 52°06'23.7"	35796,-32742	# bei Märkisch Buchholz
E 13°51'00.6"	N 52°02'04.8"	42136,-40513	# Krausnick/nach Köthen
E 14°03'20.4"	N 51°45'25.8"	57275,-70987	# bei Repten (manuell gesetzt)
E 14°09'25.9"	N 53°15'03.5"	58832,95451	# Wartin
E 14°17'16.8"	N 53°08'04.1"	68088,82675	# Hohenfelde, Knick
E 13°16'37.4"	N 52°47'45.0"	1169,43250	# Friedrichsthal
E 13°43'55.6"	N 52°50'19.3"	31577,48862	# Finow (Straße => Biesenthal)
E 13°40'56.4"	N 52°37'46.2"	28950,25352	# Löhme
E 13°52'27.7"	N 52°42'07.2"	41757,33784	# bei Leuenberg (B158/Richtung Beiersdorf)
E 13°41'15.0"	N 52°39'46.8"	29154,29127	# Wilmersdorf/Barnim
######################################################################
# Berlin
# die Daten in Berlin scheinen OK zu sein, deshalb hier nur ident
9349,12344	9349,12344	#
15580,8839	15580,8839	#
12743,15138	12743,15138	#
3033,15694	3033,15694	#
3290,6903	3290,6903	#
11063,-2025	11063,-2025	#
-1651,2415	-1651,2415	#
15873,14046	15873,14046	#
21847,794	21847,794	#
######################################################################
# To make this file visible in bbbike:
# env LANG=C ../miscsrc/convert_berlinmap.pl -bbdoutput -datafromfile gps_correction_all.dat > /tmp/gps_correction_all.bbd
